,二氧化硅(SiO2),氧化钠(Na2O),氧化钾(K2O),氧化钙(CaO),氧化镁(MgO),氧化铝(Al2O3),氧化铁(Fe2O3),氧化铜(CuO),氧化铅(PbO),氧化钡(BaO),五氧化二磷(P2O5),氧化锶(SrO),氧化锡(SnO2),二氧化硫(SO2)
二氧化硅(SiO2),1.0,0.04441326911131582,-0.1470591941024528,0.1750782272017515,-0.49379995193628473,0.9262136589074618,-0.09889048267291756,0.27381072275092183,-0.37605526524532124,-0.32978516398902413,0.1650134688957603,-0.2731490436469726,0.5906361706603995,0.09938428202019232
氧化钠(Na2O),0.044413269111315816,0.9999999999999998,0.1830872108432772,0.24517377155083458,-0.304917870924015,0.15616440771129259,0.014024600816578359,0.005678830563923206,0.07894521489061124,-0.5045084555595791,-0.41508621529089257,-0.24465226078821192,-0.006682836144668988,-0.28643792849218924
氧化钾(K2O),-0.14705919410245283,0.1830872108432772,1.0,-0.21158626829548022,-0.1658015811787441,-0.17636284308654995,-0.3216215931490447,-0.3376045211480646,-0.14654544362075156,-0.38382212731613047,-0.24151194269233073,0.23749038878541048,0.11706026008868585,0.1433503747785436
氧化钙(CaO),0.1750782272017515,0.24517377155083458,-0.2115862682954802,0.9999999999999998,-0.39428404249462623,0.07647600291118865,0.35766372864581936,0.6415612331006922,-0.14288464785852192,-0.3874948358416138,-0.17409469212759476,-0.6566604358857564,-0.40548626828395146,0.22657085263508414
氧化镁(MgO),-0.4937999519362848,-0.304917870924015,-0.1658015811787441,-0.39428404249462623,1.0,-0.4200903657612818,-0.09980540949833802,-0.5515940405605367,0.05500895604198776,0.1550947390762446,-0.03743995815775638,0.30325048847530234,0.014139691705059397,0.11643024444736454
氧化铝(Al2O3),0.9262136589074618,0.15616440771129259,-0.17636284308654993,0.07647600291118864,-0.4200903657612818,1.0,-0.23680049742389964,0.17703801057826765,-0.31114421704356426,-0.37439408574042665,0.28453674451168054,-0.2808342180715125,0.6080912081317048,0.07733850850993995
氧化铁(Fe2O3),-0.09889048267291754,0.014024600816578359,-0.3216215931490447,0.35766372864581936,-0.09980540949833802,-0.2368004974238996,0.9999999999999999,0.6539762359277339,-0.3079755284885661,0.10334106835652174,-0.16906254080831765,-0.34579577330865474,-0.5877307429921392,0.1273681168715777
氧化铜(CuO),0.27381072275092183,0.005678830563923207,-0.33760452114806466,0.6415612331006922,-0.5515940405605368,0.17703801057826768,0.653976235927734,1.0,-0.10555768087703088,-0.01760274435128859,-0.038840952309533196,-0.5697264361088406,-0.5893951622307186,0.14297393200964048
氧化铅(PbO),-0.37605526524532124,0.07894521489061124,-0.14654544362075156,-0.14288464785852192,0.05500895604198775,-0.31114421704356426,-0.3079755284885661,-0.10555768087703088,1.0,0.5677578750907211,-0.22030501161621815,0.1237846840969876,-0.30122556137959416,-0.6889492259172417
氧化钡(BaO),-0.32978516398902413,-0.5045084555595791,-0.38382212731613047,-0.3874948358416138,0.1550947390762446,-0.37439408574042665,0.10334106835652174,-0.01760274435128859,0.5677578750907211,1.0,0.14293791864421296,0.2945565018195537,-0.22141799976355364,-0.5382116182667768
五氧化二磷(P2O5),0.16501346889576032,-0.4150862152908925,-0.24151194269233076,-0.17409469212759476,-0.03743995815775639,0.28453674451168054,-0.16906254080831767,-0.038840952309533196,-0.22030501161621818,0.14293791864421299,1.0,-0.16610030027272962,0.2448678290530962,0.13850446239559658
氧化锶(SrO),-0.2731490436469727,-0.2446522607882119,0.23749038878541046,-0.6566604358857564,0.30325048847530234,-0.28083421807151254,-0.34579577330865474,-0.5697264361088406,0.1237846840969876,0.29455650181955373,-0.16610030027272965,0.9999999999999999,0.275566491362119,-0.24295877572551688
氧化锡(SnO2),0.5906361706603995,-0.006682836144668987,0.11706026008868586,-0.40548626828395146,0.014139691705059397,0.6080912081317048,-0.5877307429921392,-0.5893951622307185,-0.30122556137959416,-0.22141799976355364,0.2448678290530962,0.275566491362119,1.0,0.017252216064192197
二氧化硫(SO2),0.09938428202019231,-0.2864379284921892,0.14335037477854362,0.22657085263508414,0.11643024444736454,0.07733850850993994,0.12736811687157773,0.14297393200964048,-0.6889492259172417,-0.5382116182667767,0.1385044623955966,-0.24295877572551688,0.017252216064192197,1.0
