成分1,成分2,Corr_高钾,Corr_铅钡,D=铅钡-高钾,|D|,p值(Fisher z)
氧化铁(Fe2O3),氧化铜(CuO),0.6539762359277339,-0.41041343223692667,-1.0643896681646605,1.0643896681646605,4.175813027851305e-05
二氧化硅(SiO2),氧化铅(PbO),-0.37605526524532124,0.6784583537738267,1.054513619019148,1.054513619019148,3.9751746060634474e-05
氧化铝(Al2O3),氧化铅(PbO),-0.31114421704356426,0.5804595820022458,0.8916037990458101,0.8916037990458101,0.0009240169582520608
氧化铅(PbO),二氧化硫(SO2),-0.6889492259172417,0.18350829737358004,0.8724575232908218,0.8724575232908218,0.0005216020183311798
氧化钙(CaO),氧化铜(CuO),0.6415612331006922,-0.15801709033157896,-0.7995783234322712,0.7995783234322712,0.0019695773831247543
氧化铁(Fe2O3),氧化锡(SnO2),-0.5877307429921392,0.20453723751932068,0.7922679805114599,0.7922679805114599,0.00302455449451422
氧化钡(BaO),二氧化硫(SO2),-0.5382116182667768,0.2107422721397404,0.7489538904065172,0.7489538904065172,0.006087868044007072
氧化钙(CaO),氧化锶(SrO),-0.6566604358857564,0.07919342533906983,0.7358538612248262,0.7358538612248262,0.003573828062600093
氧化镁(MgO),二氧化硫(SO2),0.11643024444736454,-0.5313695194578757,-0.6477997639052402,0.6477997639052402,0.017098254525809597
氧化镁(MgO),氧化钡(BaO),0.1550947390762446,-0.4498613266637802,-0.6049560657400248,0.6049560657400248,0.03112647766402432
氧化钠(Na2O),氧化钡(BaO),-0.5045084555595791,0.09434572790778313,0.5988541834673623,0.5988541834673623,0.028816358960942035
二氧化硅(SiO2),氧化锡(SnO2),0.5906361706603995,0.0002033614741119254,-0.5904328091862876,0.5904328091862876,0.022503339592963023
氧化铁(Fe2O3),二氧化硫(SO2),0.1273681168715777,-0.454911709693196,-0.5822798265647737,0.5822798265647737,0.03737424407988543
氧化铅(PbO),氧化钡(BaO),0.5677578750907211,0.04349302938472539,-0.5242648457059956,0.5242648457059956,0.04335598182362155
氧化铝(Al2O3),氧化锡(SnO2),0.6080912081317048,0.08428496749387884,-0.523806240637826,0.523806240637826,0.03662397583956123
氧化钙(CaO),氧化钡(BaO),-0.3874948358416138,0.08315064885628208,0.4706454846978959,0.4706454846978959,0.09785019298929809
氧化镁(MgO),氧化铝(Al2O3),-0.4200903657612818,0.04975574604537201,0.4698461118066538,0.4698461118066538,0.09421899726636318
氧化铝(Al2O3),五氧化二磷(P2O5),0.28453674451168054,-0.18300476847189448,-0.46754151298357505,0.46754151298357505,0.10813533246217344
二氧化硅(SiO2),氧化钡(BaO),-0.32978516398902413,0.1339153898287665,0.46370055381779063,0.46370055381779063,0.108423240903746
氧化钾(K2O),氧化锶(SrO),0.23749038878541048,-0.20998083847327112,-0.4474712272586816,0.4474712272586816,0.1257277057688988
氧化铜(CuO),氧化铅(PbO),-0.10555768087703088,0.33659166093377907,0.44214934181080995,0.44214934181080995,0.12495508354725837
氧化钠(Na2O),氧化钙(CaO),0.24517377155083458,-0.1780904836328902,-0.4232642551837248,0.4232642551837248,0.14785623403116377
氧化钙(CaO),氧化锡(SnO2),-0.40548626828395146,0.014705875731376248,0.42019214401532773,0.42019214401532773,0.1345686805994979
氧化铜(CuO),氧化锶(SrO),-0.5697264361088406,-0.15697839590362347,0.41274804020521705,0.41274804020521705,0.10016361704926724
氧化钙(CaO),氧化铝(Al2O3),0.07647600291118865,-0.3284920627242465,-0.4049680656354352,0.4049680656354352,0.1600089085845906
氧化铁(Fe2O3),氧化钡(BaO),0.10334106835652174,-0.2682430527629837,-0.37158412111950545,0.37158412111950545,0.20280510868975665
氧化铅(PbO),五氧化二磷(P2O5),-0.22030501161621815,0.15072368318183504,0.3710286947980532,0.3710286947980532,0.20619263707076207
氧化钡(BaO),五氧化二磷(P2O5),0.14293791864421296,-0.227685201799645,-0.3706231204438579,0.3706231204438579,0.20641876861633346
氧化钡(BaO),氧化锶(SrO),0.2945565018195537,-0.07199742852488578,-0.36655393034443945,0.36655393034443945,0.20641833137750232
氧化锶(SrO),氧化锡(SnO2),0.275566491362119,-0.08599198868465777,-0.3615584800467768,0.3615584800467768,0.21448797526968422
